Unnamed: 0,images_path,masks_path
0,d:\s3_dataset_entire\S3_entire-dataset\1712055425_5e0c440954314a83bff66dedc19be2b1\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1712055425_5e0c440954314a83bff66dedc19be2b1\mask\mask.png
1,d:\s3_dataset_entire\S3_entire-dataset\1690749330_978d284d23b74532a82f589d48e00c4c\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690749330_978d284d23b74532a82f589d48e00c4c\mask\mask.png
2,d:\s3_dataset_entire\S3_entire-dataset\1703248252_c03cb0e708404f8b89cccc6721645c3c\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1703248252_c03cb0e708404f8b89cccc6721645c3c\mask\mask.png
3,d:\s3_dataset_entire\S3_entire-dataset\1702297556_083cb3bed7f14ab086460427a0eee5e8\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1702297556_083cb3bed7f14ab086460427a0eee5e8\mask\mask.png
4,d:\s3_dataset_entire\S3_entire-dataset\1690633617_72c54048d04d4578b17cdc6f97d7e332\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690633617_72c54048d04d4578b17cdc6f97d7e332\mask\mask.png
5,d:\s3_dataset_entire\S3_entire-dataset\1690585826_59569ce65ced4bdfb3c4a959d3a7014d\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690585826_59569ce65ced4bdfb3c4a959d3a7014d\mask\mask.png
6,d:\s3_dataset_entire\S3_entire-dataset\1703838698_bb4e885f4e014124b2309d3c85061835\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1703838698_bb4e885f4e014124b2309d3c85061835\mask\mask.png
8,d:\s3_dataset_entire\S3_entire-dataset\1703589639_ce725d82a6124d8eb6c3efeee6bf68ab\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1703589639_ce725d82a6124d8eb6c3efeee6bf68ab\mask\mask.png
9,d:\s3_dataset_entire\S3_entire-dataset\1702376018_4868d0166e5e46c18c243cf0667b2867\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1702376018_4868d0166e5e46c18c243cf0667b2867\mask\mask.png
10,d:\s3_dataset_entire\S3_entire-dataset\1712163505_801a47ea8e194dfcb9c9d3861f824f94\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1712163505_801a47ea8e194dfcb9c9d3861f824f94\mask\mask.png
11,d:\s3_dataset_entire\S3_entire-dataset\1715678915_bf2ed5019f6a4a64b1158504f7484d96\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1715678915_bf2ed5019f6a4a64b1158504f7484d96\mask\mask.png
12,d:\s3_dataset_entire\S3_entire-dataset\1707343603_4c781102678240f3bccdb103ac1e9b9d\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1707343603_4c781102678240f3bccdb103ac1e9b9d\mask\mask.png
13,d:\s3_dataset_entire\S3_entire-dataset\1707915801_4baeda45b761435b96bae6752d983c05\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1707915801_4baeda45b761435b96bae6752d983c05\mask\mask.png
14,d:\s3_dataset_entire\S3_entire-dataset\1701096296_02e5170efde84e858e4f1c757bacb419\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1701096296_02e5170efde84e858e4f1c757bacb419\mask\mask.png
15,d:\s3_dataset_entire\S3_entire-dataset\1702271876_d739cb2b426545268521cd3a1178d5e5\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1702271876_d739cb2b426545268521cd3a1178d5e5\mask\mask.png
16,d:\s3_dataset_entire\S3_entire-dataset\1692898876_373ce12c3ea9465182e88b2346cad0fe\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1692898876_373ce12c3ea9465182e88b2346cad0fe\mask\mask.png
17,d:\s3_dataset_entire\S3_entire-dataset\1707460740_0273198ff5a04206a55d08171d700314\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1707460740_0273198ff5a04206a55d08171d700314\mask\mask.png
19,d:\s3_dataset_entire\S3_entire-dataset\1701864598_3a72b058813a41eeba4f71a3ca829d5a\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1701864598_3a72b058813a41eeba4f71a3ca829d5a\mask\mask.png
20,d:\s3_dataset_entire\S3_entire-dataset\1692960231_fbf7508dc9e44b97837c68aea166ffc3\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1692960231_fbf7508dc9e44b97837c68aea166ffc3\mask\mask.png
21,d:\s3_dataset_entire\S3_entire-dataset\1707221512_173e4cc8a00c4e90935e20dec8eba876\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1707221512_173e4cc8a00c4e90935e20dec8eba876\mask\mask.png
22,d:\s3_dataset_entire\S3_entire-dataset\1690636209_642e072f2d414b8a9e4db844ddaee9d9\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690636209_642e072f2d414b8a9e4db844ddaee9d9\mask\mask.png
23,d:\s3_dataset_entire\S3_entire-dataset\1708606289_0434a952eb574495a60f6098fc8f489e\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1708606289_0434a952eb574495a60f6098fc8f489e\mask\mask.png
24,d:\s3_dataset_entire\S3_entire-dataset\1688468881_77be7ec78be1429ba9b7b36f61ed31bc\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1688468881_77be7ec78be1429ba9b7b36f61ed31bc\mask\mask.png
25,d:\s3_dataset_entire\S3_entire-dataset\1705649050_47acb61d8e034befb6b30941b792601e\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1705649050_47acb61d8e034befb6b30941b792601e\mask\mask.png
26,d:\s3_dataset_entire\S3_entire-dataset\1701816771_118c8fbf67f241dfa9b3e55a212dec81\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1701816771_118c8fbf67f241dfa9b3e55a212dec81\mask\mask.png
29,d:\s3_dataset_entire\S3_entire-dataset\1692983445_0f52503c50da44859fef52e995d3d8bd\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1692983445_0f52503c50da44859fef52e995d3d8bd\mask\mask.png
30,d:\s3_dataset_entire\S3_entire-dataset\1690585191_cb7662fbd3fc4baba9018830d8f87d6b\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690585191_cb7662fbd3fc4baba9018830d8f87d6b\mask\mask.png
31,d:\s3_dataset_entire\S3_entire-dataset\1690583846_d2903ee8c7674905b6fa04c1047c75fd\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1690583846_d2903ee8c7674905b6fa04c1047c75fd\mask\mask.png
32,d:\s3_dataset_entire\S3_entire-dataset\1702901783_71405abe456345e28a775ce27d53cf3a\composite\composite.png,d:\s3_dataset_entire\S3_entire-dataset\1702901783_71405abe456345e28a775ce27d53cf3a\mask\mask.png
